City,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed,Latitude,Longitude
Busselton,100,AU,1562767017,63,52.0,10.47,-33.64,115.35
Bontang,66,ID,1562767180,92,74.21,3.4,0.12,117.47
Bethel,1,US,1562766578,93,60.8,4.7,60.79,-161.76
Barrow,0,AR,1562766942,59,55.49,2.84,-38.31,-60.23
Castro,75,CL,1562766921,100,46.4,10.29,-42.48,-73.76
Jamestown,31,AU,1562766925,90,49.19,17.16,-33.21,138.6
Kieta,100,PG,1562767183,73,78.53,13.35,-6.22,155.63
Isangel,0,VU,1562766974,76,72.41,15.73,-19.55,169.27
Beringovskiy,0,RU,1562766970,77,51.17,2.28,63.05,179.32
Arraial do Cabo,0,BR,1562767028,56,73.4,13.87,-22.97,-42.02
Georgetown,40,GY,1562766926,83,84.2,9.17,6.8,-58.16
Mayahi,82,NE,1562767205,31,94.37,3.85,13.95,7.67
Hithadhoo,82,MV,1562766947,72,84.83,9.57,-0.6,73.08
Punta Arenas,90,CL,1562766751,100,37.0,3.36,-53.16,-70.91
Geraldton,90,CA,1562767002,88,62.6,8.05,49.72,-86.95
Rikitea,53,PF,1562767015,80,72.95,22.77,-23.12,-134.97
Dalbandin,0,PK,1562767208,6,96.71,9.06,28.9,64.41
Saskylakh,33,RU,1562766973,61,56.39,4.9,71.97,114.09
Hobart,75,AU,1562766819,54,53.6,14.99,-42.88,147.33
Puerto Ayora,75,EC,1562766908,78,71.6,11.41,-0.74,-90.35
Khatanga,7,RU,1562766920,61,55.49,3.85,71.98,102.47
Hualmay,100,PE,1562767006,82,62.69,5.82,-11.1,-77.61
Alferrarede,0,PT,1562767211,25,100.0,3.0,39.48,-8.18
Juruti,41,BR,1562767212,93,77.09,2.21,-2.16,-56.09
Kaitangata,2,NZ,1562766920,68,39.0,8.99,-46.28,169.85
Mareeba,90,AU,1562767213,83,71.6,9.17,-16.99,145.42
Bredasdorp,0,ZA,1562766912,52,69.8,5.82,-34.53,20.04
Shirokiy,18,RU,1562767214,78,63.77,8.37,53.87,39.17
Muskogee,1,US,1562767215,74,84.99,4.59,35.75,-95.37
La Ronge,20,CA,1562766652,81,53.6,5.06,55.1,-105.3
Victoria,75,BN,1562767018,78,82.4,1.12,5.28,115.24
Palmaner,100,IN,1562767216,50,81.95,11.77,13.2,78.75
Akureyri,0,IS,1562767204,67,57.2,9.17,65.68,-18.09
San Patricio,100,PY,1562766950,68,67.37,7.45,-26.98,-56.83
Sistranda,20,NO,1562767218,76,57.0,13.87,63.73,8.83
Bodegraven,90,NL,1562767218,87,69.01,3.36,52.08,4.75
Mataura,90,NZ,1562767016,92,45.95,5.75,-46.19,168.86
Ponta do Sol,0,BR,1562766902,41,70.25,1.48,-20.63,-46.0
Masuda,90,JP,1562767220,94,73.4,8.05,34.68,131.85
Kupang,0,ID,1562767220,71,76.73,16.35,-10.16,123.6
Luderitz,0,NA,1562766774,12,87.8,8.05,-26.65,15.16
Kangaatsiaq,30,GL,1562767221,92,42.35,13.33,68.31,-53.46
Vaini,75,IN,1562767026,94,71.6,9.17,15.34,74.49
Te Anau,93,NZ,1562767222,88,44.33,1.92,-45.41,167.72
Ilulissat,90,GL,1562766946,93,41.0,4.7,69.22,-51.1
Videbaek,0,DK,1562767223,45,68.0,12.75,56.09,8.63
Narsaq,40,GL,1562766975,50,55.4,12.75,60.91,-46.05
Twentynine Palms,1,US,1562767224,37,81.0,5.82,34.14,-116.05
Sitka,0,US,1562766912,86,79.0,1.01,37.17,-99.65
Lebu,20,ET,1562767025,60,68.0,8.05,8.96,38.73
Muyezerskiy,100,RU,1562767225,59,49.19,11.59,63.93,31.65
Anadyr,0,RU,1562767226,87,48.2,6.71,64.73,177.51
Dayong,20,CN,1562767226,79,84.2,2.24,25.02,118.29
Avarua,100,CK,1562766745,100,64.4,2.24,-21.21,-159.78
Iqaluit,40,CA,1562767227,81,50.0,3.36,63.75,-68.52
